57,0
57,205722
4,176929
2,154452
10,145398
10,148578
3,150020
16,161752
2,166152
16,147092
2,175402
4,198338
9,161210
2,153236
58,183872
58,207547
4,205302
15,173278
31,162120
31,157079
4,158235
22,166351
98,167937
28,194004
16,150277
4,156994
32,183154
228,170166
60,245858
456,188522
144,316909
108,207625
236,212094
236,200876
16,201045
88,183160
392,180266
72,201121
16,170719
88,180879
64,175856
16,177153
464,218769
464,300395
464,295868
112,296173
112,202229
112,215652
456,200457
32,320795
88,188855
16,183543
200,298694
1368,293581
312,562011
48,327218
360,356533
80,332506
680,549728
3192,488422
840,1017853
784,551113
1652,614131
1652,517051
112,521187
616,320354
2744,361414
504,501692
504,297246
112,322850
504,327815
504,304766
448,303539
112,336585
3248,524762
3248,896877
3248,900198
112,898075
840,202264
840,551812
3192,543572
728,974832
728,511141
784,514386
1652,623211
1652,550584
112,541119
616,309887
2744,372039
616,477069
448,340540
112,333018
896,522864
224,584826
224,181873
224,192600
224,184020
1344,183671
336,827482
1456,961186
1456,836262
1456,836836
6384,848310
1456,2548309
1456,857381
1456,971564
336,1674048
224,950987
224,178627
224,202616
1344,187822
336,814141
1680,963117
1512,895708
3304,993109
3304,942954
224,928720
1232,451017
5488,587637
1232,785656
1232,523810
5488,516651
1008,784327
224,454112
1232,487542
896,478543
224,474353
6496,875908
6496,2286048
6496,2390955
1568,2472056
1568,1017745
1568,997913
6384,1019107
448,2606100
1232,558600
224,590043
2576,2349424
12768,2662068
2912,4651258
448,2579273
3360,2586960
672,2684769
5488,3799823
25536,4039956
5824,8497439
5824,4053774
6272,4017865
13216,4940697
13216,4068998
896,4056329
4928,2147250
7616,2709692
7168,3595526
1792,3965318
14336,6762044
3584,7745873
3584,686146
3584,665781
3584,680037
3584,707831
3584,659635
21504,686211
5376,13204238
23296,13785763
23296,12376956
23296,13883966
102144,13705416
23296,29790701
23296,13344138
24192,14143270
19712,14867727
1792,11431904
51968,8850745
1792,16981483
1792,188010
1792,189368
1792,194134
1792,188812
1792,188979
1792,190477
1792,196987
1792,195221
1792,195470
1792,188431
1792,196885
104832,8806801
51072,40460874
1792,16941601
1792,191792
1792,194748
1792,192258
1792,189939
1792,187551
1792,190961
1792,195068
1792,188929
1792,184648
1792,185548
1792,186954
1792,185452
104832,8685002
51072,39623644
3584,17000131
1792,3951025
8960,664384
8960,3615698
2688,3585270
10752,1200518
17920,2200633
3584,6733037
25088,2500004
3584,9230027
25088,2468884
14336,9265761
3584,6417846
28672,2485770
3584,10499337
7168,10946890
16128,6385216
3584,6217982
19712,5198281
3584,6727836
16128,5254183
3584,6185611
103936,18398105
103936,36082829
7168,36637622
26880,14531131
69888,13485906
55552,18713105
55552,13687333
7168,13368741
39424,9748240
175616,14079353
50176,23752348
28672,12782889
7168,10835548
57344,23166869
64512,33599023
10752,24676106
46592,23842014
7168,22748255
53760,23567428
7168,24577119
86016,38739155
195328,43148656
195328,42685226
7168,41917968
39424,9718353
175616,13900292
32256,23746644
7168,10552234
39424,11097681
28672,12100554
7168,11479629
57344,22987008
408576,27646120
93184,109791634
14336,44884759
93184,50398973
408576,44797623
93184,109089503
14336,48499545
107520,53515186
14336,49887217
107520,50941636
96768,51892021
211456,57099186
211456,46535918
14336,46783192
78848,18784373
351232,25473667
78848,49325612
64512,22764809
14336,20743462
78848,21407550
64512,22251212
57344,20515138
14336,22585359
114688,45584488
817152,53949486
186368,223583568
817152,90353326
186368,222266448
28672,91418344
215040,105418564
28672,105834650
215040,108220982
186368,100630142
28672,89350773
186368,102882846
817152,90519408
186368,226900559
28672,96046819
215040,103893007
28672,98175925
215040,109501676
186368,95804136
193536,94981257
157696,105582342
14336,80753487
415744,91899577
14336,180504061
14336,533446
14336,513941
14336,520900
14336,530012
14336,502104
14336,513473
14336,518696
14336,502260
838656,92832292
408576,452789287
14336,186177955
14336,536591
14336,548505
14336,533697
14336,524519
14336,541413
14336,546793
14336,544713
14336,525513
838656,96956181
57,0
57,144284
57,142906
4,142339
9,122290
2,117099
9,120727
2,116943
58,140114
58,165751
4,164395
15,133733
31,124261
31,121006
4,120167
16,123797
4,118558
26,139262
59,126663
59,127788
4,127067
18,124873
18,121461
98,127943
18,135612
4,122279
32,138055
26,148651
114,128995
26,170979
26,129726
4,131604
26,140167
114,128512
26,167930
4,128869
26,141429
114,127699
26,170184
4,129105
38,140977
26,131955
26,129216
4,129625
48,150380
228,137825
52,202626
8,141723
76,158075
52,144743
76,140292
42,155222
100,133942
100,133809
20,133555
8,156949
72,119528
72,155139
150,146252
150,143344
30,143383
92,166618
92,155211
92,156125
92,155406
456,155903
104,240866
16,161799
104,175619
456,159469
104,239247
16,162862
104,178115
16,163880
456,174598
116,205053
250,176253
250,159808
250,162853
250,160693
250,161163
250,158872
250,162685
250,159988
250,162112
250,162419
250,161092
250,161205
250,173301
250,160661
250,163174
250,159651
250,160798
250,159200
250,160435
250,160482
250,160744
250,159226
250,159637
250,159446
250,159848
250,160289
250,162404
250,162976
250,163673
250,164296
250,162562
250,161025
250,163364
250,159960
250,162170
250,162189
250,161849
250,162690
250,161417
250,161864
250,159960
250,161912
250,162614
250,167050
250,163148
250,160634
250,162387
250,162917
250,161518
250,160588
250,162467
250,163552
250,160588
250,160311
250,168098
250,163052
250,160967
250,162077
250,160931
250,162341
250,162685
250,162552
250,162812
250,162178
250,162477
250,162114
250,161893
250,164680
250,161880
250,161731
250,163208
250,163950
250,162067
250,165680
250,162480
250,162761
250,162888
250,160240
250,162681
250,162937
250,162790
250,161384
250,163217
250,162987
250,162176
250,162005
250,162470
250,162106
250,164462
250,166133
250,163853
250,162618
250,163921
250,162977
250,164373
250,164492
250,161290
250,161850
250,162297
250,161479
250,163046
250,160644
250,159484
250,164561
250,162666
250,162038
250,161965
250,162608
250,162528
250,162907
250,160694
250,162303
250,162378
250,160911
250,161871
250,161919
250,161095
250,161998
250,161620
250,161829
250,159036
250,162585
250,198764
250,162568
250,164241
250,161934
250,162223
250,162956
250,162243
250,163481
250,162953
250,159647
250,161707
250,162166
250,164985
250,170505
250,163561
250,163159
250,163739
250,162046
250,162753
250,163016
250,163256
